Id,Name,HordeName,EffectArg0,EffectArg1,EffectArg2,EffectScalingPoints0,EffectScalingPoints1,EffectScalingPoints2,TransmogPlayerConditionId,TransmogCost,IconFileDataId,EffectPointsMin0,EffectPointsMin1,EffectPointsMin2,ItemVisual,Flags,RequiredSkillId,RequiredSkillRank,ItemLevel,Charges,Effect0,Effect1,Effect2,ScalingClass,ScalingClassRestricted,ConditionId,MinLevel,MaxLevel
"64","+$k1 全能","","40","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0"
"66","+$k1 耐力","","7","0","0","0.03","0","0","0","0","0","1","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"67","+$k1 伤害","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"68","+$k1 力量","","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"69","+$k1 力量","","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"70","+$k1 力量","","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"71","+$k1 耐力","","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"72","+$k1 耐力","","7","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"73","+$k1 耐力","","7","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"74","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"75","+$k1 敏捷","","3","0","0","0.4","0","0","0","0","0","2","0","0","0","32","0","0","0","0","5","0","0","253","0","0","0","60"
"76","+$k1 敏捷","","3","0","0","0.6","0","0","0","0","0","3","0","0","0","32","0","0","0","0","5","0","0","253","0","0","0","60"
"77","+$k1 伤害","","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"78","+$k1 伤害","","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"79","+$k1 智力","","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"80","+$k1 智力","","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"81","+$k1 智力","","5","0","0","0.3","0","0","0","0","0","3","0","0","0","32","0","0","0","0","5","0","0","251","0","0","0","70"
"82","+$k1 全能","","40","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"83","+$k1 全能","","40","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"84","+$k1 全能","","40","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"85","+$k1 护甲","","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"86","+$k1 护甲","","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"87","+$k1 护甲","","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"88","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","+$k1 护甲","","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"90","+$k1 敏捷","","3","0","0","0.4","0","0","0","0","0","4","0","0","0","32","0","0","0","0","5","0","0","251","0","0","0","70"
"91","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"92","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"93","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"94","+$k1 智力","","5","0","0","0.4","0","0","0","0","0","4","0","0","0","32","0","0","0","0","5","0","0","251","0","0","0","70"
"95","+$k1 智力","","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"96","+$k1 智力","","5","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"97","+$k1 智力","","5","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"98","+$k1 全能","","40","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"99","+$k1 全能","","40","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"100","+$k1 全能","","40","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"101","+$k1 全能","","40","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"102","+$k1 耐力","","7","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"103","+$k1 耐力","","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"104","+$k1 耐力","","7","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"105","+$k1 耐力","","7","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"106","+$k1 力量","","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"107","+$k1 力量","","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"108","+$k1 力量","","4","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"109","+$k1 力量","","4","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"110","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"111","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"112","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"113","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"114","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"115","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"116","+$k1 躲闪","","13","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"117","+$k1 伤害","","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"118","+$k1 伤害","","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"119","+$k1 伤害","","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"120","+$k1 伤害","","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"121","+$k1 护甲","","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"122","+$k1 护甲","","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"123","+$k1 护甲","","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"125","+1 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","+2 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","+3 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","+4 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","+5 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","+6 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","+7 剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","+1 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","+2 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","+3 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","+4 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","+5 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","+6 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","+7 双手剑技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","+1 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","+2 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","+3 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","+4 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","+5 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","+6 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","+7 锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","+1 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","+2 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","+3 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","+4 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","+5 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","+6 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","+7 双手锤技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","+1 Axe Skill","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","+2 斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","+3 斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","+4 斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","+5 斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","+6 斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","+7 斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","+1 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","+2 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","+3 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","+4 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"164","+5 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","+6 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","+7 双手斧技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","+1 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","+2 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"169","+3 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","+4 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171","+5 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"172","+6 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173","+7 匕首技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"174","+1 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","+2 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"176","+3 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","+4 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178","+5 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"179","+6 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","+7 枪械技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"181","+1 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"182","+2 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"183","+3 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"184","+4 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185","+5 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"186","+6 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"187","+7 弓技能","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","+$7593s1 屠兽","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","+$7594s1 屠兽","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","+$7595s1 屠兽","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","+$7596s1 屠兽","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","+$k1 爆击","","32","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"196","+$k1 爆击","","32","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"197","+$k1 爆击","","32","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"198","+$k1 爆击","","32","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"199","被击中时有10%的几率施放：暗影箭（10伤害）","","7601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"200","被击中时有10%的几率施放：暗影箭（20伤害）","","7614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"201","被击中时有10%的几率施放：暗影箭（30伤害）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","被击中时有10%的几率施放：暗影箭（40伤害）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","被击中时有10%的几率施放：暗影箭（50伤害）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","被击中时有10%的几率施放：暗影箭（60伤害）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","被击中时有10%的几率施放：暗影箭（70伤害）","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","+$k1 武器伤害","","0","0","0","0.06","0","0","0","0","0","2","0","0","42","32","0","0","1","0","2","0","0","255","0","0","0","60"
"242","+$k1 生命值","","1","0","0","0.45","0","0","0","0","0","15","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"243","+$k1 全能","","40","0","0","0.18","0","0","0","0","0","10","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"244","+$k1 智力","","5","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0"
"245","+$k1 护甲","","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0"
"246","+$k1 法力值","","0","0","0","0.35","0","0","0","0","0","20","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"247","+$k1 敏捷","","3","0","0","0.03","0","0","0","0","0","1","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"248","+$k1 力量","","4","0","0","0.03","0","0","0","0","0","1","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"249","+$7784s1 屠兽","","7784","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","1","0","3","0","0","0","0","0","0","0"
"250","+$k1 武器伤害","","0","0","0","0.03","0","0","0","0","0","1","0","0","31","32","0","0","1","0","2","0","0","255","0","0","0","60"
"251","+$k1 智力","","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0"
"252","+$k1 全能","","40","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0"
"253","吸收 （$7848s1）","","7849","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"254","+$k1 生命值","","1","0","0","0.75","0","0","0","0","0","25","0","0","0","32","0","0","1","0","5","0","0","255","0","0","0","60"
"255","+$k1 全能","","40","0","0","0.1","0","0","0","0","0","3","0","0","103","32","0","0","1","0","5","0","0","255","0","0","0","60"
"257","+$k1 护甲","","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0"
"263","鱼饵（+$8082s1 钓鱼技能）","","8082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"264","鱼饵（+$8083s1 钓鱼技能）","","8083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"265","鱼饵（+$8084s1 钓鱼技能）","","8084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"266","鱼饵（+$8085s1 钓鱼技能）","","8085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"303","火焰宝珠","","0","0","0","0","0","0","0","0","0","0","0","0","32","3","0","0","1","0","0","0","0","0","0","0","0","0"
"343","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"344","+$k1 护甲","","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"345","+$k1 护甲","","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"346","+$k1 护甲","","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"347","+$k1 护甲","","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"348","+$k1 护甲","","0","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"349","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"350","+$k1 智力","","5","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"351","+$k1 全能","","40","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"352","+$k1 力量","","4","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"353","+$k1 耐力","","7","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"354","+$k1 智力","","5","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"355","+$k1 全能","","40","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"356","+$k1 耐力","","7","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"357","+$k1 力量","","4","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"358","+$k1 敏捷","","3","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
