Id,Name,Description,Cooldown,Duration,Flags,SpellSchoolMask,IconFileDataId
"22","Unrelenting Hunger","Ayeleth drains the anima from all adjacent enemies, dealing $s1 Shadow damage and an additional $s2 damage each round.","3","2","0","32","460700"
"23","DNT JasonTest Taunt Spell","Taunt","0","2","0","0","0"
"24","Shining Spear","Teliah empowers her spear, dealing $s1 Holy damage to the farthest enemy and healing the closest ally for $s2.","2","0","0","2","1508065"
"25","Whirling Fists","Kythekios punches all enemies in melee in rapid succession, dealing $s1 Holy damage them and empowering himself to deal $s2% additional damage.","2","3","0","2","2065583"
"26","Physiker's Potion","Telethakas pours a potion down the throat of the closest ally, healing them for $s1 and increasing their maximum health by $s2.","3","2","0","8","236882"
"27","XX - Test - Physical","","0","0","0","1","1059120"
"28","XX - Test - Melee - Holy","","0","0","0","2","0"
"29","XX - Test - Melee - Fire","","0","0","0","4","0"
"30","XX - Test - Melee - Nature","","0","0","0","8","0"
"31","XX - Test - Melee - Frost","","0","0","0","16","0"
"32","XX - Test - Melee - Shadow","","0","0","0","32","0"
"33","XX - Test - Melee - Arcane","","0","0","0","64","0"
"34","XX - Test - Ranged - Physical","","0","0","0","1","0"
"35","XX - Test - Ranged - Holy","","0","0","0","2","0"
"36","XX - Test - Ranged - Fire","","0","0","0","4","0"
"37","XX - Test - Ranged - Nature","","0","0","0","8","0"
"38","XX - Test - Ranged - Frost","","0","0","0","16","0"
"39","XX - Test - Ranged - Shadow","","0","0","0","32","0"
"40","XX - Test - Ranged - Arcane","","0","0","0","64","0"
"41","Bag Smash","The smuggler swipes with his bag, damaging all adjacent enemies.","3","0","0","1","133634"
"42","JasonTest Passive","","0","0","0","0","0"
"43","Leech Anima","Siphons anima from the farthest enemy into yourself, dealing $s1 Shadow damage and healing for $s2.","1","0","0","32","136212"
"44","Double Stab","Stabs the closest enemy twice, dealing $s1 Physical damage with the first knife and and $s2 with the second.","3","0","0","1","333546"
"45","Siphon Soul","Deals $s1 Arcane damage to the farthest enemy and heals themself for $s2.","2","0","0","64","136211"
"46","Shield of Tomorrow","The Phalanx takes $s1% reduced damage and protects all ranged allies in the same way.","2","1","0","2","517159"
"47","Protective Aura","Draven's wingspan shields himself and all allies, reducing all damage taken by $s1%.","0","0","0","32","2182687"
"48","Shadow Walk","Nadjia becomes untargetable and heals herself for $s2.","4","1","0","32","451170"
"49","Exsanguination","Theotar rips the blood from all enemies at range, increasing the damage they take by $s1%.","4","4","0","32","999949"
"50","Halberd Strike","The Halberdier slices their weapon at the farthest enemy, dealing $s1 Physical damage.","3","0","0","1","135576"
"51","Bonestorm","Whirls in place, dealing $s1 Shadow damage to all enemies in melee.","5","0","0","32","1535071"
"52","Plague Song","Scream at enemies at range, inflicting $s1 Nature damage each round for 4 rounds.","5","4","0","8","136147"
"53","Bramble Trap","Winding tendrils ensare all enemies, dealing $s1 Nature damage and reducing their damage by 20% every other round.","6","6","0","8","1535071"
"54","Slicing Shadows","Rahel cheerfully slices the closest enemy and hurls a dagger at the farthest enemy, dealing $s1 Shadow damage to both.","3","0","0","32","1455921"
"55","Polite Greeting","Stonehead smiles and politely smashes all enemies in melee for $s1 Physical damage.","2","0","0","1","236550"
"56","Mirror of Torment","Simone wields her mirror with precision, dealing $s1 Arcane damage to the farthest enemy.","1","0","0","64","458243"
"57","Etiquette Lesson","Bogdan reminds the nearest enemy of their manners, dealing $s1 Shadow damage for the next three turns.","5","3","0","32","1544136"
"58","Headcrack","Lost Sybille smashes the heads of all adjacent enemies together, dealing $s1 Physical damage.","2","0","0","1","132094"
"59","Mirrors of Regret","Vulca invokes the power of loss, dealing $s1 Arcane damage to all enemies at range.","3","0","0","64","1020341"
"60","Acid Spit","Spits acid at the farthest enemy, dealing $s1 Nature damage.","2","0","0","8","136007"
"61","Mandible Smash","Smashes the closest enemy, dealing $s1 Nature damage.","4","0","0","8","1508493"
"62","Gore","Stabs all enemies in melee with their antlers, dealing $s1 Nature damage.","3","0","0","8","454039"
"63","Sonic Shriek","Shrieks loudly, dealing $s1 Nature damage to all enemies and causing them to deal $s2% less damage for two rounds.","5","2","0","8","133707"
"64","Massive Rumble","Slams his carapace into the ground, dealing $s1 Nature damage to all enemies.","2","0","0","8","451165"
"65","Nagging Doubt","Gnaws at the closest enemy, dealing $s1 Shadow damage.","2","0","0","32","1398088"
"66","Goliath Slam","Slams a nearby enemy, dealing $s1 Shadow damage to them and an enemy behind them.","1","0","0","32","132323"
"67","Vault Strike","Leap in the air and strike the farthest enemy with a spear of shadow, dealing $s1 Shadow damage.","3","0","0","32","376832"
"68","Glowhoof Trample","Strike all enemies in melee, dealing $s1 Holy damage and reducing their damage by $s2%.","3","1","1","2","132368"
"69","DNT JasonTest Ability Spell2","DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3","3","2","0","0","461809"
"70","DNT JasonTest Spell Tooltip","DNT test test test","0","0","0","0","0"
"71","Revitalizing Vines","Heals the closest ally for $s1.","2","0","0","8","134413"
"72","Resonating Strike","Hala strikes the closest enemy for $s1 Holy damage. The force of the blow generates a secondary shockwave, dealing $s2 Holy damage to all enemies at range.","4","0","0","2","135891"
"73","Purification Ray","Molako purifies all enemies in a line, dealing $s1 Holy damage.","2","0","0","2","135949"
"74","Reconfiguration: Defense","Ispiron reconfigures, reallocating resources to protect himself, reducing all damage taken and dealt by 40% for 3 rounds.","5","3","0","2","1405810"
"75","Larion Leap","Nemea enlists a Larion friend to leap into battle, dealing $s1 Physical damage to the farthest enemy.","2","0","0","1","3155392"
"76","Phalynx Flash","Pelodis enlists a Phalynx to charge into battle, dealing $s1 Holy damage to the farthest enemy.","3","0","0","2","3061647"
"77","Potions of Penultimate Power","Sika dishes out potions to the party, increasing their Damage by $s1 Holy for 3 rounds.","5","3","0","2","134749"
"78","Cleave","Clora cleaves all enemies in melee, dealing $s1 Holy damage.","1","0","0","2","132338"
"79","Holy Nova","Kosmas erupts in light, dealing $s1 Holy damage to all enemies and healing allies for $s2.","2","0","0","2","135922"
"80","Dawnshock","Apolon's light ignites the farthest enemy, dealing $s1 Fire damage and $s2 Fire damage for the next 2 rounds.","3","2","0","4","236216"
"81","Reconfiguration: Reflect","Bron reconfigures, wreathing himself in bands of light that deal $s1 Holy damage to all who attack him for the next 3 rounds.","5","3","0","2","461858"
"82","Mace to Hand","Kleia's determination (and mace) make enemies pay dearly, dealing $s1 Physical damage to any who attack her.","0","0","0","1","3054888"
"83","Lead the Charge","Kleia charges into battle, dealing $s1 Physical damage to all adjacent enemies.","3","0","0","1","132337"
"84","Sparkling Driftglobe Core","Mikanikos dazzles all enemies for two rounds, reducing their damage by 100%. Does not cast at the start of battle.","4","2","1","64","1990984"
"85","Resilient Plumage","Mikanikos enhances the durability of the closest ally, reducing the damage they take by 50% for two rounds.","3","2","1","2","1596903"
"86","[PH]Placeholder Punch","[PH] Powerfully punches the nearest enemy for $s1 Physical damage.","2","0","0","1","2447782"
"87","Doubt Defied","Pelagos faces his fears and hurls light in the face of his foes, dealing $s1 Holy damage to all enemies at range.","2","0","0","2","132351"
"88","Combat Meditation","Pelagos meditates, increasing his damage by 30% and inflicting a Sorrowful Memory on all enemies, dealing $s2 Holy damage.","3","3","0","2","3528283"
"89","Spiked Burr Trap","Niya's Burr Trap deals $s1 Nature damage to the furthest enemy each turn for 2 turns.","4","2","0","8","132309"
"90","Invigorating Herbs","Niya invigorates adjacent allies, increasing all damage they deal by 20%.","0","0","0","8","960671"
"91","Dazzledust","Blisswing reduces the damage of the furthest enemy by $s1 for 3 rounds.","4","3","0","8","1387618"
"92","Trickster's Torment","Duskleaf deals $s1 Shadow damage to all enemies at range for 2 rounds.","0","2","0","32","1396977"
"93","Leeching Seed","Karynmwylyann draws strength from the closest enemy, dealing $s1 Nature damage and healing himself for $s2.","3","0","0","8","464030"
"94","Icespore Spear","Chalkyth slashes all enemies in melee with his spear and implants an Icespore, dealing $s1 Frost damage each round for 3 rounds.","4","3","0","16","135127"
"95","Starlight Strike","Lloth'wellyn calls upon the stars, dealing $s1 Arcane damage to the farthest enemy, and $s2 Arcane damage to all enemies at range.","3","0","0","64","651082"
"96","Insect Swarm","Yira'lya summons a swarm of insects to torment the farthest enemy, dealing $s1 Nature damage and reducing their damage by 20% for two rounds.","4","2","0","8","136045"
"97","Flashing Arrows","Kota unleashes a flurry of arrows, dealing $s1 Physical damage in a cone emanating from his closest enemy.","2","1","0","1","133580"
"98","Anima Bolt","Sha'lor blasts the furthest enemy with shaped Anima, dealing $s1 Arcane damage.","1","0","0","64","1391777"
"99","Onslaught","Tez'an rips and tears with his teeth, dealing $s1 Nature damage to all enemies in melee.","3","1","0","9","1027879"
"100","Heart of the Forest","Qadarin heals himself for $s1 Nature.","1","0","0","0","136081"
"101","Strangleheart Seed","Watcher Vesperbloom implants a seed into the nearest enemy, dealing $s1 Nature damage and increasing damage taken by 20% for three rounds.","4","3","0","16","960689"
"102","Forest's Touch","Groonoomcrooek's branches lash in the wind, dealing $s1 Nature damage to all enemies in a line.","2","0","0","8","133749"
"103","Social Butterfly","Dreamweaver doubles the damage of all allies for 2 rounds.","4","2","0","8","237573"
"104","Podtender","Heal an adjacent ally for $s1, but reduce their damage by 10% for the next round.","1","1","0","8","656440"
"105","Hold the Line","Korayn and allies take 10% less damage.","0","0","0","1","136088"
"106","Face Your Foes","Korayn steels his resolve and slices his opposition, dealing $s1 Physical damage to all adjacent enemies.","2","0","0","1","132344"
"107","Volatile Solvent","Marileth douses the nearest enemy, dealing $s1 Shadow damage and inflicting an additional $s2 Shadow damage when the target is struck for three rounds.","5","3","0","32","1500943"
"108","Ooz's Frictionless Coating","Marileth heals a nearby ally for $s1 and increases their maximum health by 10%.","4","2","0","32","3459800"
"109","Serrated Shoulder Blades","Enemies attacking Heirmir take $s1 Physical damage.","0","0","0","1","134427"
"110","Ravenous Brooch","Heirmir's brooch heals her for $s1.","1","0","0","32","237519"
"111","Sulfuric Emission","Emeni's fumes deal $s1 Nature damage to all enemies in melee range.","3","0","0","8","136182"
"112","Gnashing Chompers","Emeni's marvelous mastication inspires all adjacent allies, increasing their damage by $s1 Shadow.","5","3","0","32","132103"
"113","Secutor's Judgment","Mevix judges his opponent wanting, dealing $s1 Shadowfrost damage to all enemies in a cone in front of him.","4","0","0","48","135401"
"114","Reconstruction","Every round, Gunn heals for $s1.","1","0","0","32","1045943"
"115","Dynamic Fist","Rencissa lashes out, dealing $s1 Shadow damage to adjacent enemies.","2","0","0","32","1280877"
"116","Dreaming Charge","The Juvenile Miredeer lowers its horns and charges, dealing $s1 Nature damage to the closest enemy.","3","0","0","8","1247261"
"117","Swift Slash","Slashes at the front rank of enemies, dealing $s1 nature damage.","2","0","0","8","1373911"
"118","Mischievous Blast","Blasts the furthest foe with $s1 nature damage.","4","0","1","8","136006"
"119","Corrosive Thrust","Jabs out with a corrosive cone attack, dealing $s1 Nature damage in a cone emitting from the closest enemy.","2","0","0","8","136016"
"120","Goading Motivation","The Trickster goads a random ally into trying harder","2","2","0","8","1058933"
"121","Mesmeric Dust","The Trickster blows a glittering distracting dust across all enemies","3","1","0","64","463521"
"122","Humorous Flame","Chaos and fire! This attack deals $s1 fire damage over three turns to a random enemy.","2","0","0","4","463567"
"123","Healing Winds","The Trickster heals front line allies for$s1","4","0","0","8","136041"
"124","Kick","Kicks all adjacent enemies in melee with their powerful hooves, dealing $s1 Nature damage.","3","0","0","8","132368"
"125","Deranged Gouge","The Scavenger lashes out at a random enemy, dealing $s1 Nature damage, and reducing the targets damage by 50% for one turn.","3","1","0","8","132155"
"126","Possessive Healing","The Grovetender uses their knowledge of nurturing magics, healing their front line allies for $s1","3","1","0","8","136044"
"127","Nibble","The Gormling gets a taste for all the enemies in melee, dealing $s1 Nature damage.","4","1","0","8","1392547"
"128","Regurgitate","The Gormling regurgitates a massive stream of acidic liquid at all enemies at range, dealing $s1 Nature damage.","5","1","0","8","136007"
"129","Queen's Command","The Queen commands her minions to do better, healing them for $s1, and buffing their damage by 50% for one turn.","5","1","0","8","132176"
"130","Carapace Thorns","The Gormling forms a protective, thorny, shield, which deals $s1 Nature damage to anyone attacking it for three turns.","4","3","0","8","415052"
"131","Arcane Antlers","Arcane bolts shoot from the Runestag's antlers, dealing $s1 Arcane damage to all enemies at range.","3","0","0","64","236205"
"132","Arbor Eruption","This attack explodes with the force of a falling tree, dealing $s1 Nature damage to all enemies in melee, and reducing their damage by 50% for one turn.","4","1","0","8","136025"
"133","Hidden Power","The manifestation draws on ancient power to deal $s1 Arcane damage to all enemies at range, and heal themselves for some of the damage.","4","0","0","64","3578232"
"134","Curse of the Dark Forest","Curses all enemies, increasing the damange they take by 25% for two turns.","4","2","0","32","136214"
"135","Fires of Domination","A firey wave of projectiles are spewed across the battlefield, dealing $s1 Fire damage to all enemies at range.","3","0","0","4","1035051"
"136","Searing Jaws","Bite the closest enemy with jaws of flame, dealing $s1 Fire damage over three turns.","4","3","0","4","236167"
"137","Hearty Shout","A hearty battlecry that increases damage done by 25% for two turns.","4","2","0","8","132333"
"138","Tail lash","Lashes out against all adjacent enemies in melee, dealing $s1 Arcane damage.","2","0","0","64","236222"
"139","Hunger Frenzy","Starts on Cooldown. The creature goes into a frenzy, lashing out at all enemies at range, dealing $s1 Arcane damage.","6","0","1","64","135739"
"140","Fan of Knives","Khaliiq hurls energized daggers at all enemies at range, dealing $s1 Shadow damage and reducing their damage by 10% for 2 rounds.","4","2","0","32","135640"
"141","Herd Immunity","The creature shares some of its remaining anima to protect its herd. All allies gain 50% damage mitigation for two turns","4","2","0","64","135739"
"142","Arcane Restoration","The creature pulses out waves of concentrated anima, healing in a cone from the closest ally for $s1","3","0","0","64","1717106"
"143","Arrogant Boast","The manifestation exclaims belief in their own ability, increasing damage done by 25% for two turns.","4","2","0","32","132333"
"144","Ardent Defense","The manifestation defends their position, protecting all allies for two turns","4","2","1","32","135733"
"145","Shield Bash","Smashes the closest enemy, dealing $s1 Shadow damage.","4","0","0","32","236318"
"146","Dark Javelin","Hurls a javelin at the farthest enemy, dealing $s1 Shadow damage.","4","0","0","32","135131"
"147","Close Ranks","The praetor inspires the Forsworn, protecting all other allies for two turns","5","2","0","32","136051"
"148","Divine Maintenance","Release restorative anima, healing front line allies for $s1","4","1","0","32","136044"
"149","Phalynx Slash","Slashes at the front rank of enemies, dealing $s1 shadow damage.","3","0","0","32","1373911"
"150","Crashing Claws","A furious flurry of claws, dealing $s1 shadow damage in a cone from the closest enemy.","3","0","0","32","1508486"
"151","Dive bomb","Swopps down on the closest enemy dealing $s1 Physical damage","2","1","0","32","3386321"
"152","Anima Wave","The Matriarch sends out a wave of pure anima, healing all allies for $s1, and buffing their damage by 50% for one turn.","5","1","1","8","3528289"
"153","Forbidden Research","Projects a condensed stream of anima, dealing $s1 Shadow damage in a cone from the closest enemy.","4","0","0","32","3528286"
"154","Stolen Wards","Forms a reflective shield, which deals $s1 Shadow damage to anyone attacking it for three turns.","5","3","0","32","3528283"
"155","Concussive Roar","A concussive roar that shakes all enemies and reduces their damage done by 75% for one turn.","4","1","0","32","132121"
"156","Cursed Knowledge","Curses all enemies, increasing the damange they take by 40% for two turns.","5","2","0","32","136214"
"157","Frantic Flap","A frantic flap of sharp wings, striking all adjacent enemies in melee, dealing $s1 damage.","4","0","0","1","1373911"
"158","Explosion of Dark Knowledge","Starts on Cooldown. Blasts all enemies at range with $s1 shadow damage.","3","0","1","32","3528287"
"159","Proclamation of Doubt","The creatures makes all enemies doubt themselves, decreasing damage done by 25% for two turns.","4","2","0","32","132333"
"160","Seismic Slam","Slams his massive fists into the ground, dealing $s1 Nature damage to all enemies.","3","0","0","8","451165"
"161","Dark Command","The Overseer marshalls his troops, healing them for $s1, and buffing their damage by 25% for one turn.","4","1","0","8","458226"
"162","Curse of Darkness","Curses all enemies, decreasing the damange they do by 50% for two turns.","5","2","0","32","236287"
"163","Wave of Conviction","Starts on Cooldown. Sends out a powerful wave of anima, dealing $s1 shadow damage to all enemies.","6","0","1","32","237510"
"164","Dark Flame","Breathes a dark flame, dealing $s1 Shadow damage over three turns in a cone emitting from the closest enemy.","6","3","0","32","463567"
"165","Winged Assault","Slashes at the closest enemy, dealing $s1 shadow damage.","4","0","0","32","1373911"
"166","Leeching Bite","Bites at a random enemy, dealing $s1 shadow damage and healing itself for some of the damage.","2","0","0","32","459148"
"167","Razor Shards","Casts a series of sharp, stone, shards at all enemies at range, dealing $s1 nature damage.","4","0","0","8","136018"
"168","Howl from Beyond","Lets loose a viscious howl that strikes fear into the nearest enemy, reducing their damage by 50% for two turns.","4","2","0","32","1033494"
"169","Consuming Strike","Strikes at the closest enemy, dealing $s1 Shadow damage, and causing a damage over time effect for three turns.","5","3","0","32","1398088"
"170","Stone Bash","Flying fists of stone deal $s1 Nature damage to all enemies in melee.","4","1","0","8","136025"
"171","Pitched Boulder","Hurls a massive boulder, dealing $s1 Nature damage to all enemies at range.","3","1","0","8","132153"
"172","Viscious Slash","Strike all enemies in melee, dealing $s1 shadow damage and reducing their damage by $s2%.","3","1","1","32","132133"
"173","Icy Blast","Blasts the furthest foe with $s1 frost damage, reducing their damage by $s2","4","2","0","16","135849"
"174","Polished Ice Barrier","A frozen reflective shield forms which deals $s1 Frost damage to anyone attacking it for three turns.","4","3","0","16","236214"
"175","Lash Out","The party animal is lost in the moment and lashes out at a random target, dealing $s1 Shadow damage.","3","0","0","32","1392547"
"176","Arrogant Denial","The noble launches into a passionate defense of the aristocracy, distracting all enemies and increasing damage taken by $s1","3","1","0","32","841384"
"177","Shoulder Charge","Slams into the closest enemy, dealing $s1 damage.","3","0","0","1","413576"
"178","Draw Anima","Draws anima from the furthest enemy, dealing $s1 shadow damage and healing itself for $s2.","4","0","0","32","538040"
"179","Medical Advice","Emits a healing mist, healing all allies for $s1, and increases their damage by $s2 for two turns.","6","2","0","2","627487"
"180","Mental Assault","Targets a random enemy with visions of doom, dealing $s1 Shadow damage.","3","0","0","32","460687"
"181","Anima Blast","Starts on Cooldown. Blasts all enemies at range with $s1 shadow damage.","6","0","1","32","3528311"
"182","Deceptive Practice","Confuses all enemies with mirror reflections, decreasing the damange they do by $s1 for two turns.","5","2","0","32","132171"
"183","Shadow Swipe","Slashes at all enemies in melee with their claws, dealing $s1 shadow damage.","3","0","0","32","236222"
"184","Anima Lash","Blasts out a cone of anima from the closest enemy, dealing $s1 shadow damage.","4","0","0","32","3528310"
"185","Temper Tantrum","Stacka lashes out with all his strength, dealing $s1 shadow damage to all enemies.","4","0","0","32","236260"
"186","Feral Rage","Claws and bites wildly at all enemies in melee, dealing $s1 shadow damage.","3","0","0","32","132139"
"187","Toxic Miasma","Emits constant waves of toxic magic, causing a damage over time effect for $s1 over three turns.","1","3","0","32","136160"
"188","Angry Smash","Big Shiny lashes out at a random enemy, dealing $s1 damage, and reducing the targets damage by $s2 for one turn.","3","1","0","1","132298"
"189","Angry Bash","Bashes into the closest enemy, dealing $s1 damage.","3","0","0","1","135906"
"190","Anima Wave","Blasts all enemies in melee with $s1 shadow damage.","3","0","0","32","3528313"
"191","Toxic Dispersal","Deals $s1 Nature damage each round to all enemies and heals all allies for $s2.","1","0","0","8","132104"
"192","Shadow Bolt","Rathan blasts the furthest enemy, dealing $s1 Shadow damage.","2","0","0","32","135640"
"193","Flesh Eruption","Gorgelimb sacrifices his own flesh, dealing $s1 Physical damage to enemies in melee and $s2 damage to himself.","2","0","0","32","134084"
"194","Potentiated Power","Ashraka empowers an adjacent ally at the cost of her own health, increasing their damage by $s1 Shadow and reducing the damage they take by $s2 for $d.","3","2","0","32","236294"
"195","Creeping Chill","Talethi deals $s1 Frost damage each turn for $d to enemies in a cone in front of him.","4","2","0","16","135837"
"196","Hail of Blades","Velkein strikes an adjacent enemy multiple times, dealing $s1 Physical damage, then $s2, then $s3, then $s4.","5","0","0","1","458731"
"197","Reassembly","Assembler Xertora reconstructs all adjacent allies, healing them for $s1.","2","0","0","32","3386320"
"198","Bone Shield","Rattlebag encases himself in whirling bones, reducing damage taken by $s1 and inflicting $s2 Shadow damage to enemies that strike him.","3","2","0","32","136127"
"199","Lumbering swing","A wild swing that strikes all enemies in melee, dealing $s1 damage.","3","0","0","1","236316"
"200","Stunning Swipe","Lashes out dealing $s1 nature damage to all enemies in melee, and decreasing their damage by $s2","4","0","0","8","132105"
"201","Monstrous Rage","Fies into a frenzy, assaulting all enemies at range, dealing $s1 nature damage.","4","0","0","8","136217"
"202","Whirling Wall","Attracts the attention of all enemies, focusing their attention on itself.","4","2","0","8","136018"
"203","Bitting Winds","Deadly winds of anima infused magic tear through all enemies in melee, dealing $s1 Nature damage.","4","0","0","8","136022"
"204","Death Blast","Blasts the closest enemy with $s1 shadow damage, reducing their damage by $s2 for two turns","5","2","0","32","460686"
"205","Bone Dust","Necromantic energy pulses forth, healing front line allies for$s1","3","0","0","8","132097"
"206","Abominable Kick","Is it a foot? Is it a hoof? Hard to tell, but it hits hard, dealing $s1 damage to the closest enemy.","3","0","0","1","132368"
"207","Feral Lunge","Lunges into their foes with tooth and claw, dealing $s1 damage to all enemies in a line.","2","0","0","1","132133"
"208","Intimidating Roar","Roars out a spine chilling challenge to a random enemy, focusing their attention on itself.","4","2","0","8","132137"
"209","Ritual Fervor","Inspires a random ally to greater sacrifice. Buffing their damage by $s1 for one turn","2","1","0","32","3528291"
"210","Waves of Death","Emits a wave of death magic, dealing $s1 Shadow damage to all enemies.","3","0","0","32","451165"
"211","Acidic Ejection","Spits out a stream of toxic material, dealing $s1 Nature damage in a cone emitting from the closest enemy.","4","0","0","8","136016"
"212","Panic Attack","The paniced beast strikes out at a random target, dealing $s1 damage.","4","0","0","1","136147"
"213","Heal the Flock","The ancient creature emits waves of beneficial spores, healing in a cone from the closest ally for $s1","3","0","0","8","628135"
"214","Necrotic Lash","Lashes out with necrotic energy in a cone from the closest enemy, dealing $s1 shadow damage.","2","0","0","32","3528297"
"215","Slime Fist","Strikes out with massive fists, dealing $s1 Nature damage to the closest enemy.","5","0","0","8","840404"
"216","Threatening Hiss","Hisses loudly. Stay away! Prevents itself from being a target for two turns","5","2","0","32","132103"
"217","Massacre","Lashes out with Necrotic energy, assaulting all enemies at range, dealing $s1 shadow damage.","4","0","0","32","3528295"
"218","Ritual of Bone","Spins a protective sheath of bone. Mitigating damage taken by $s1 for two turns.","5","2","0","32","458717"
"219","Necrotic Healing","Draws upon death to empower their necrotic energy, healing the closest ally for $s1, and decreases their damage taken by $s2 for two turns.","6","2","0","32","3528292"
"220","Wild Slice","Deadly claws tear through all enemies in melee, dealing $s1 damage.","3","0","0","1","457637"
"221","Burrow","Digs underground, avoiding being targeted for two turns","4","2","0","8","136025"
"222","Poisonous Bite","Strikes with poison laden teeth, dealing $s1 nature damage to the closest enemy, and inflicting #s2 nature damage over two turns.","4","2","0","8","136016"
"223","Wave of Eternal Death","Powerful death magic rolls across the Planes of Torment, causing a stacking damage over time effect to all of your party.","1","10","0","32","136160"
"224","Maw Wrought Slash","Deadly claws tear through all enemies in melee, dealing $s1 damage.","3","0","0","1","132116"
"225","Stream of Anguish","Spews forth a cloud of screams, dealing $s1 Shadow damage in a cone emitting from the closest enemy.","2","0","0","32","236302"
"226","Thrust of the Maw","Lashes out with their spear in a cone from the closest enemy, dealing $s1 shadow damage.","3","0","0","32","3528302"
"227","Bombardment of Dread","The Jailer sends a bombardment of missles across Calcis, dealing $s1 Shadow damage to a random enemy every turn.","1","0","0","32","3528302"
"228","Destruction","After ten turns a wave of absolute destruction flows through the The Tremaculum, dealing $s1 damage to your party.","10","0","1","32","3528305"
"229","Mawsworn Ritual","Ancient rites and runes protect a random member of the enemy team, reducing their damage taken by $s1% for two turns.","2","2","0","32","3528305"
"230","Faith in Domination","The Altar of Domination provides a locus of faith for the Mawsworn, healing them for $s1.","2","1","0","32","3528299"
"231","Mawsworn Strength","Intimidates a random enemy, causing them to take $s1 more damage for two turns.","4","2","0","32","3528299"
"232","Aura of Death","Focuses a feeling of dread upon a random enemy, reducing their damage done by $s1 for three turns.","4","3","0","32","3528300"
"233","Teeth of the Maw","Fires a manifestation of pure doom at the closest enemy, dealing $s1 Shadow Damage.","3","0","0","32","3528298"
"234","Power of Anguish","Inspires their allies through fear, causing them to do $s1 more damage for two turns.","4","2","0","32","3528299"
"235","Vengence of the Mawsworn","Targets enemies at range, calling down missles of pure maw anima, dealing $s1 shadow damage.","3","0","0","32","3528302"
"236","Empowered Minions","Draws upon the maw itself to empower their allies, decreases their damage taken by $s1 for two turns.","4","2","0","32","3528299"
"237","Maw Swoop","Sweeps down with precision, slashing deeply at all enemies in melee, dealing $s1 Shadow Damage.","4","0","0","32","3528301"
"238","Death Shield","Attracts the attention of all enemies for two turns.","4","2","0","8","136051"
"239","Beam of Doom","Fires a manifestation of pure doom at enemies at range, dealing $s1 Shadow Damage.","5","0","0","32","3528298"
"240","Spear of Dread","Surges into the enemy ranks, dealing $s1 Shadow damage to all enemies in a line.","3","0","0","32","135131"
"241","Pain Spike","A spiral of maw anima surges towards a random enemy, dealing $s1 Shadow damage and reducing their damage done by $s2 for two turns","4","2","0","32","3528298"
"242","Dark Healing","Heals the closest ally for $s1, and decreases their damage taken by $s2 for two turns.","4","2","0","32","3528300"
"243","Baleful Stare","Stares into the Abyss, taunting all enemies and reducing their damage taken by $s2 for two turns","5","2","0","32","3528299"
